Series Name,"Series Code","Country Name","Country Code","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]"
Urban population growth (annual %),"SP.URB.GROW","American Samoa","ASM","3.95176069795656","3.5825688835108","3.28675955076135","3.09994428383097","2.97568658103947","2.86167891786527","2.70867166803283","2.52480610371983","2.29885885503776","1.83593143291785","1.02306677293956","0.835643294342136","0.549409711486211","0.132099150992864","-0.356492950618415","-0.910394746007984","-1.38918221069831","-1.63416893892626","-1.53753204960915","-1.17296817237381","-0.683580326166811","-0.260659242724085","0.0434904172615447","0.159303237338831",""
Urban population growth (annual %),"SP.URB.GROW","Andorra","ADO","3.69997147901932","3.64176405211518","3.27544063117516","2.51976147343027","1.56724530412423","0.430467003251573","-0.487333652495167","-0.67651192620815","0.144751927247703","1.61832027000045","3.19379646392366","4.269117908686","4.65151285629088","4.14276140191935","3.11313497454346","2.10610789257148","1.25904642256467","0.30802872960533","-0.746695465487899","-1.84967719620776","-3.14606825108765","-4.36023579093883","-5.02736771872414","-4.81107418127705",""
Urban population growth (annual %),"SP.URB.GROW","Angola","AGO","5.51429643528965","5.68409076607204","5.72140715752497","5.63194079585731","5.45161059716565","5.24896803156969","5.10299033984452","5.06615882470583","5.16650416037277","5.3474954015068","5.5289347160496","5.67029255938045","5.73580136886956","5.72526746896083","5.64264260455427","5.56329685081474","5.49563375772283","5.43903019829473","5.38986025500254","5.36394106353152","5.3302665124289","5.26627989329281","5.18536160495259","5.09787908903412",""
Urban population growth (annual %),"SP.URB.GROW","Antigua and Barbuda","ATG","0.921372681722556","0.549674733849355","1.15701185724479","1.47255989528723","1.57620336219546","1.63654388499891","1.68523246124959","1.58759742622789","1.32830050614966","0.966735958889538","0.479885748581311","-0.70864073947607","-0.977074956634111","-1.08100340852743","-1.05965079179049","-1.03329947332277","-1.02292992749982","-1.03350202212512","-1.05725585123387","-1.11223286727225","-1.15567583062362","-1.06192542585306","-0.951490505010126","-0.842319987900969",""
Urban population growth (annual %),"SP.URB.GROW","Armenia","ARM","-1.3319158221238","-2.19909213548638","-2.74884660430186","-2.80675141095124","-2.46585777433932","-1.97414680636276","-1.55564630759995","-1.21546007442344","-1.04535804027187","-1.00802822678965","-0.959043001110194","-0.57728878107961","-0.407339831624193","-0.395727893390314","-0.417762151397333","-0.476978252022019","-0.520333301539234","-0.626314281966887","-0.625821988899321","-0.41628748109029","-0.177953381753377","0.0163743125679808","0.169115176163465","0.206332222369208",""
Urban population growth (annual %),"SP.URB.GROW","Aruba","ABW","3.87630844003047","4.82802695659047","5.23626017101926","4.80348621120982","3.78237876922299","2.66252519903131","1.81782881985523","1.26129546360595","1.09550075019494","1.18734435151914","1.4036631528538","1.44149549086462","1.30581044686801","0.958215078321778","0.486825436686081","-0.0200514654951185","-0.435438638108562","-0.705177194577594","-0.757862167942257","-0.658444218423254","-0.50875533696714","-0.338308551383726","-0.210004115718702","-0.161842262275042",""
Urban population growth (annual %),"SP.URB.GROW","Austria","AUT","1.05161933586089","1.10056699963108","0.824628018697113","0.384867021306286","0.153100896510803","0.135014828955475","0.113320579561672","0.109724862028944","0.194562588808052","0.240462184404616","0.384323159458615","0.499590024244888","0.496245890031622","0.629535581992001","0.690372134363523","0.502402279693564","0.333257281837185","0.322148960221041","0.271070844127551","0.247989068758886","0.346183705456726","0.465047132895913","0.614462274032225","0.834698259594946",""
Urban population growth (annual %),"SP.URB.GROW","Azerbaijan","AZE","0.977665500009378","0.935187970086095","0.937788827463162","0.765057342747041","0.561539448738864","0.414267131128686","0.369412687908159","0.346417134807344","0.696083253664727","1.21344378120309","1.16515638336764","1.13311843032047","1.14502413490342","1.26130075641327","1.40475551381099","1.47962600704689","1.51533013846802","2.47801108138936","2.45286958706445","1.58568813937793","1.71786304117758","1.76232410507864","1.74548572779019","1.71845399655564",""
Urban population growth (annual %),"SP.URB.GROW","Bahamas, The","BHS","2.13387064231374","2.18433067584157","2.15320929407469","2.00731743861556","1.80129743294872","1.56129113349204","1.37858300806","1.3336479498228","1.46607564173847","1.68628314386364","1.81320172073881","2.0360754377124","2.17404948693991","2.19077709226472","2.12277049020495","2.03778113099539","1.97048946439846","1.89761947661722","1.82538539157157","1.7564096879965","1.68549581185182","1.61014142201478","1.53217586400851","1.45389433617439",""
Urban population growth (annual %),"SP.URB.GROW","Bahrain","BHR","2.94105365747423","2.6149421881838","2.4425555702685","2.47809446127313","2.61564446234804","2.81683682835166","3.05014695939652","3.32281958107075","3.62692375569555","3.96480816476568","4.11514764917328","4.29283290387086","4.88076217220434","5.92467451173029","7.06647933198916","8.18993251571773","8.74862079295448","8.36354793686571","7.04398280357928","5.29239880275106","3.52733344301555","2.13819370986082","1.23560468499005","0.980967926534014",""
Urban population growth (annual %),"SP.URB.GROW","Bangladesh","BGD","4.58224813580843","3.98537907481378","3.90032994554174","3.86699014394021","3.84260654077707","3.83385852460976","3.79655319809938","3.75796031810269","3.690548320267","3.60788940635982","4.00521188874347","4.51881190421393","4.40823935550985","4.26393467731917","4.09695662294232","3.9335913175204","3.78626617978665","3.68174044905143","3.63488886164472","3.63787756718683","3.64683741700863","3.6203131798555","3.57347157514761","3.51721498276979",""
Urban population growth (annual %),"SP.URB.GROW","Barbados","BRB","0.720823097739229","0.716823922373839","0.715175920238619","0.722670821233203","0.72883299896487","0.740455228278713","0.743956706999861","0.745120923172776","0.7274930369166","0.559148565215517","-0.216038466479372","-0.241814162831516","-0.244606658024592","-0.231936663803063","-0.199231916433345","-0.16411078941327","-0.134372053067312","-0.122313292911205","-0.126919111681049","-0.150507573298955","-0.114984244200101","-0.0793380344553429","-0.041370134707539","0",""
Urban population growth (annual %),"SP.URB.GROW","Belarus","BLR","0.64292750841626","0.804436168747235","0.805812133868787","0.455881906982674","0.24520331197263","0.226723529513906","0.129179924275113","0.0717824622400188","0.265176663638405","0.404771989182546","-0.0818670183319778","0.0437641084416869","-0.0229230293129536","-0.0274888389969475","-0.0434429098652529","0.024054660541981","0.166450628894238","0.281036332202125","0.382477344702739","0.416515844762101","0.396672221304323","0.464365325976466","0.562944663057057","0.568030749146644",""
Urban population growth (annual %),"SP.URB.GROW","Belgium","BEL","0.458708968466601","0.489648012030033","0.473469732274633","0.38889489030352","0.289038165403975","0.271829214060208","0.317332906060917","0.287787745843932","0.300301131948299","0.307396852284558","0.401589535539955","0.504850382532479","0.473126456353324","0.487253604294571","0.603461777772535","0.711902507086518","0.784605124928664","0.840217047745315","0.853793945008594","0.961788901955212","1.43395351636623","0.772080089298247","0.534197377375946","0.474785427964052",""
Urban population growth (annual %),"SP.URB.GROW","Belize","BLZ","1.55266526402314","1.75196885774044","1.77413323410482","2.12753754505322","2.68129165223696","3.28410279151516","3.7408761360361","3.9348027311718","3.81742470912639","3.41016650739412","2.48672331118712","2.21859434687177","2.03174674354129","1.97029433067843","1.99322197281631","2.019279790102","2.00933374254476","1.97621422857494","1.91045365698247","1.82140415597414","1.78474584566049","1.75879024436693","1.75331658558471","1.76564273246275",""
Urban population growth (annual %),"SP.URB.GROW","Benin","BEN","5.74566841785662","5.33873293264078","4.58514640784107","4.45258378143534","4.22844213927046","3.98352738426999","3.79449501493626","3.70605835002087","3.75508299522955","3.88476756418115","4.01756953952561","4.10999549358408","4.1664595121127","4.15550322710061","4.09535443666533","4.03064728704555","3.97854234004967","3.92492637128328","3.86501191433985","3.81085421599629","3.7513412374494","3.69543270061254","3.65203780024387","3.62952483302384",""
